Date,Open,High,Low,Close,Adj Close,Volume,Day_of_The_Week
9-Nov-17,0.001207,0.001415,0.001181,0.001415,0.001415,"6,259,550",5
10-Nov-17,0.001421,0.001431,0.001125,0.001163,0.001163,"4,246,520",6
11-Nov-17,0.001146,0.001257,0.001141,0.001201,0.001201,"2,231,080",7
12-Nov-17,0.001189,0.00121,0.001002,0.001038,0.001038,"3,288,960",1
13-Nov-17,0.001046,0.001212,0.001019,0.001211,0.001211,"2,481,270",2
14-Nov-17,0.001201,0.001239,0.001131,0.001184,0.001184,"2,660,340",3
15-Nov-17,0.001189,0.001351,0.001179,0.001339,0.001339,"2,840,180",4
16-Nov-17,0.001348,0.001424,0.001286,0.00139,0.00139,"3,423,010",5
17-Nov-17,0.001381,0.001394,0.001274,0.001313,0.001313,"2,787,480",6
18-Nov-17,0.001308,0.001385,0.001254,0.001373,0.001373,"1,648,260",7
19-Nov-17,0.001355,0.001421,0.00134,0.001376,0.001376,"1,431,720",1
20-Nov-17,0.001374,0.001428,0.001348,0.001394,0.001394,"2,141,360",2
21-Nov-17,0.00141,0.001446,0.001302,0.001389,0.001389,"3,047,660",3
22-Nov-17,0.001401,0.002053,0.001373,0.001823,0.001823,"18,841,700",4
23-Nov-17,0.001819,0.002246,0.001819,0.001891,0.001891,"26,126,500",5
24-Nov-17,0.00194,0.001978,0.001788,0.001908,0.001908,"9,585,960",6
25-Nov-17,0.001923,0.002072,0.001877,0.002072,0.002072,"5,430,930",7
26-Nov-17,0.002073,0.002132,0.00188,0.002026,0.002026,"7,670,430",1
27-Nov-17,0.001999,0.002036,0.001891,0.001988,0.001988,"6,185,790",2
28-Nov-17,0.001991,0.002363,0.001949,0.002363,0.002363,"8,317,540",3
29-Nov-17,0.002333,0.002581,0.001993,0.00208,0.00208,"11,077,200",4
30-Nov-17,0.002048,0.002271,0.00189,0.002079,0.002079,"4,919,490",5
1-Dec-17,0.002051,0.002237,0.001971,0.002148,0.002148,"5,258,110",6
2-Dec-17,0.002122,0.002212,0.002017,0.002149,0.002149,"4,978,180",7
3-Dec-17,0.002092,0.00234,0.002071,0.002223,0.002223,"4,751,640",1
4-Dec-17,0.002206,0.002475,0.002178,0.002463,0.002463,"6,307,150",2
5-Dec-17,0.002474,0.002676,0.002426,0.002479,0.002479,"8,772,420",3
6-Dec-17,0.002495,0.002663,0.00244,0.002663,0.002663,"9,047,960",4
7-Dec-17,0.002581,0.002858,0.002515,0.00272,0.00272,"15,759,300",5
8-Dec-17,0.00273,0.002846,0.002326,0.002779,0.002779,"11,797,600",6
9-Dec-17,0.002772,0.002846,0.002425,0.002617,0.002617,"6,564,530",7
10-Dec-17,0.002607,0.002742,0.002307,0.002547,0.002547,"5,614,920",1
11-Dec-17,0.002563,0.002894,0.002534,0.002798,0.002798,"7,017,140",2
12-Dec-17,0.002794,0.003381,0.002665,0.003304,0.003304,"19,228,600",3
13-Dec-17,0.003306,0.003884,0.003218,0.003461,0.003461,"31,150,900",4
14-Dec-17,0.003449,0.003718,0.003419,0.003709,0.003709,"23,426,200",5
15-Dec-17,0.00367,0.003809,0.003483,0.003762,0.003762,"19,043,800",6
16-Dec-17,0.003767,0.006251,0.003638,0.005933,0.005933,"136,352,992",7
17-Dec-17,0.005917,0.007628,0.005586,0.005984,0.005984,"99,417,200",1
18-Dec-17,0.005938,0.006809,0.005622,0.006433,0.006433,"44,158,800",2
19-Dec-17,0.006402,0.006693,0.005476,0.005666,0.005666,"38,885,700",3
20-Dec-17,0.005619,0.007067,0.004892,0.006661,0.006661,"67,820,000",4
21-Dec-17,0.006733,0.008768,0.006583,0.007425,0.007425,"159,154,000",5
22-Dec-17,0.007386,0.007625,0.004742,0.006054,0.006054,"63,693,900",6
23-Dec-17,0.006135,0.008076,0.00611,0.007259,0.007259,"70,143,104",7
24-Dec-17,0.007282,0.008948,0.005974,0.008582,0.008582,"143,767,008",1
25-Dec-17,0.008649,0.010729,0.008582,0.008931,0.008931,"178,008,992",2
26-Dec-17,0.008935,0.009623,0.008173,0.009411,0.009411,"124,427,000",3
27-Dec-17,0.009342,0.009609,0.008514,0.008872,0.008872,"63,625,500",4
28-Dec-17,0.008856,0.008856,0.007717,0.008486,0.008486,"51,201,500",5
29-Dec-17,0.008513,0.009477,0.008155,0.009391,0.009391,"62,474,900",6
30-Dec-17,0.009365,0.009446,0.007388,0.00786,0.00786,"56,175,300",7
31-Dec-17,0.007803,0.009274,0.007669,0.008972,0.008972,"62,256,400",1
1-Jan-18,0.009031,0.009063,0.008101,0.008909,0.008909,"50,616,900",2
2-Jan-18,0.008873,0.009598,0.008551,0.009145,0.009145,"89,424,096",3
3-Jan-18,0.009088,0.009584,0.008882,0.00932,0.00932,"66,349,900",4
4-Jan-18,0.009346,0.010036,0.008768,0.009644,0.009644,"108,986,000",5
5-Jan-18,0.00966,0.012283,0.009589,0.012167,0.012167,"212,383,008",6
6-Jan-18,0.012226,0.015788,0.012226,0.014863,0.014863,"283,716,992",7
7-Jan-18,0.014673,0.018773,0.014577,0.017088,0.017088,"288,184,000",1
8-Jan-18,0.017115,0.017664,0.013765,0.015045,0.015045,"235,114,000",2
9-Jan-18,0.015072,0.015569,0.013015,0.01342,0.01342,"115,255,000",3
10-Jan-18,0.013554,0.01356,0.011485,0.013102,0.013102,"100,243,000",4
11-Jan-18,0.01302,0.013153,0.010987,0.011469,0.011469,"62,722,000",5
12-Jan-18,0.011479,0.013339,0.011165,0.013056,0.013056,"56,971,300",6
13-Jan-18,0.013057,0.013653,0.012478,0.013023,0.013023,"55,890,600",7
14-Jan-18,0.013057,0.013187,0.011344,0.011684,0.011684,"65,899,000",1
15-Jan-18,0.011631,0.011779,0.009848,0.009857,0.009857,"62,765,500",2
16-Jan-18,0.009863,0.009863,0.005672,0.006822,0.006822,"68,099,200",3
17-Jan-18,0.006812,0.007741,0.005499,0.007648,0.007648,"58,846,200",4
18-Jan-18,0.007641,0.008733,0.007195,0.007969,0.007969,"56,599,300",5
19-Jan-18,0.007872,0.008435,0.007467,0.007871,0.007871,"30,335,700",6
20-Jan-18,0.007957,0.008649,0.007957,0.008448,0.008448,"22,974,100",7
21-Jan-18,0.008438,0.008438,0.006983,0.007131,0.007131,"22,933,100",1
22-Jan-18,0.007199,0.007606,0.006318,0.006734,0.006734,"19,968,600",2
23-Jan-18,0.006723,0.007049,0.006228,0.006673,0.006673,"17,882,700",3
24-Jan-18,0.006642,0.007217,0.006473,0.007083,0.007083,"17,449,900",4
25-Jan-18,0.007155,0.007763,0.007124,0.007667,0.007667,"21,329,400",5
26-Jan-18,0.007702,0.007982,0.006795,0.007237,0.007237,"19,572,300",6
27-Jan-18,0.00724,0.007545,0.007168,0.007373,0.007373,"11,672,900",7
28-Jan-18,0.007409,0.007681,0.007337,0.007465,0.007465,"14,070,700",1
29-Jan-18,0.007401,0.007522,0.006863,0.006967,0.006967,"13,073,100",2
30-Jan-18,0.006969,0.006992,0.005942,0.006024,0.006024,"15,855,900",3
31-Jan-18,0.006001,0.006219,0.005752,0.00601,0.00601,"14,754,700",4
